sample_id,prefecture,municipality_name,layer,population_category,page_type,url,fetch_timestamp,http_status,final_url,page_title,lang_attribute,cms_fingerprint,tech_vendor,has_skip_link,has_hamburger_menu,has_global_nav,global_nav_variant,has_search,search_variant,has_breadcrumb,has_local_nav,has_emergency_notice,emergency_variant,has_news_list,has_pager,has_card_layout,has_hero_carousel,hero_carousel_variant,has_footer_sitemap,has_accessibility_link,accessibility_url,has_color_inversion,has_custom_font_size,custom_font_size_variant,has_article_meta,has_toc,has_attachment_list,attachment_variant,hosting_clue,known_rewrite,contrast_risk_hint,notes,screenshot_path,screenshot_hash
S0236,島根県,出雲市,municipality,C,top,https://www.city.izumo.shimane.jp/,2026-02-16T13:00:00+09:00,200,https://www.city.izumo.shimane.jp/,出雲市公式ホームページ,ja,,custom,true,true,true,4cat_horizontal,true,keyword,false,false,true,防災情報,true,false,true,true,carousel,true,true,,true,true,font_size+背景色(白黒青)+ふりがな,false,false,false,,,,,GTM(GTM-KS6R7MV); 多言語(英葡中韓),,
S0236,島根県,出雲市,municipality,C,contact,https://www.city.izumo.shimane.jp/www/genre/1000000000535/index.html,2026-02-16T13:00:00+09:00,200,https://www.city.izumo.shimane.jp/www/genre/1000000000535/index.html,組織から探す,ja,,custom,true,true,true,4cat_horizontal,true,keyword,true,false,false,,false,false,false,false,,true,true,,true,true,font_size+背景色(白黒青)+ふりがな,false,false,false,,,,,組織一覧,,
S0236,島根県,出雲市,municipality,C,service,https://www.city.izumo.shimane.jp/www/contents/1472444471893/index.html,2026-02-16T13:00:00+09:00,200,https://www.city.izumo.shimane.jp/www/contents/1472444471893/index.html,児童手当,ja,,custom,true,true,true,4cat_horizontal,true,keyword,true,true,false,,false,false,false,false,,true,true,,true,true,font_size+背景色(白黒青)+ふりがな,true,false,true,PDF,,,,児童手当,,
S0236,島根県,出雲市,municipality,C,hub,https://www.city.izumo.shimane.jp/www/genre/1000000000001/index.html,2026-02-16T13:00:00+09:00,200,https://www.city.izumo.shimane.jp/www/genre/1000000000001/index.html,くらし,ja,,custom,true,true,true,4cat_horizontal,true,keyword,true,false,false,,false,false,true,false,,true,true,,true,true,font_size+背景色(白黒青)+ふりがな,false,false,false,,,,,くらしカテゴリ,,
S0236,島根県,出雲市,municipality,C,article,https://www.city.izumo.shimane.jp/www/genre/1000000000022/index.html,2026-02-16T13:00:00+09:00,200,https://www.city.izumo.shimane.jp/www/genre/1000000000022/index.html,広報いずも,ja,,custom,true,true,true,4cat_horizontal,true,keyword,true,false,false,,true,true,false,false,,true,true,,true,true,font_size+背景色(白黒青)+ふりがな,true,false,false,,,,,広報紙,,
S0237,岡山県,津山市,municipality,C,top,https://www.city.tsuyama.lg.jp/,2026-02-16T13:00:00+09:00,200,https://www.city.tsuyama.lg.jp/,津山市公式サイト,ja,,custom,true,true,true,6cat_horizontal,true,keyword,false,false,true,緊急情報,true,false,true,true,carousel,true,true,,false,true,font_size+背景色,false,false,false,,,,,GA(G-9ND068Y294); UserLocalチャットボット,,
S0237,岡山県,津山市,municipality,C,contact,https://www.city.tsuyama.lg.jp/soshiki/,2026-02-16T13:00:00+09:00,200,https://www.city.tsuyama.lg.jp/soshiki/,組織から探す,ja,,custom,true,true,true,6cat_horizontal,true,keyword,true,false,false,,false,false,false,false,,true,true,,false,true,font_size+背景色,false,false,false,,,,,組織一覧,,
S0237,岡山県,津山市,municipality,C,service,https://www.city.tsuyama.lg.jp/life/index2.php?id=653,2026-02-16T13:00:00+09:00,200,https://www.city.tsuyama.lg.jp/life/index2.php?id=653,児童手当,ja,,custom,true,true,true,6cat_horizontal,true,keyword,true,true,false,,false,false,false,false,,true,true,,false,true,font_size+背景色,true,false,true,PDF,,,,児童手当,,
S0237,岡山県,津山市,municipality,C,hub,https://www.city.tsuyama.lg.jp/life/,2026-02-16T13:00:00+09:00,200,https://www.city.tsuyama.lg.jp/life/,くらし・手続き,ja,,custom,true,true,true,6cat_horizontal,true,keyword,true,false,false,,false,false,true,false,,true,true,,false,true,font_size+背景色,false,false,false,,,,,くらしカテゴリ,,
S0237,岡山県,津山市,municipality,C,article,https://www.city.tsuyama.lg.jp/shisei/koho/,2026-02-16T13:00:00+09:00,200,https://www.city.tsuyama.lg.jp/shisei/koho/,広報つやま,ja,,custom,true,true,true,6cat_horizontal,true,keyword,true,false,false,,true,true,false,false,,true,true,,false,true,font_size+背景色,true,false,false,,,,,広報紙,,
S0239,広島県,尾道市,municipality,C,top,https://www.city.onomichi.hiroshima.jp/,2026-02-16T13:00:00+09:00,200,https://www.city.onomichi.hiroshima.jp/,尾道市ホームページ,ja,,custom,true,true,true,7cat_horizontal,true,keyword+ページID,false,false,true,防災情報,true,false,true,true,carousel(4slides),true,true,,true,true,ReadSpeaker+ふりがな+font_size+背景色(白黒青),false,false,false,,,,,GA(G-29T7ZY516W+UA-60138278-1); KanaboVoice; SNS=IG+LINE,,
S0239,広島県,尾道市,municipality,C,contact,https://www.city.onomichi.hiroshima.jp/soshiki/,2026-02-16T13:00:00+09:00,200,https://www.city.onomichi.hiroshima.jp/soshiki/,組織から探す,ja,,custom,true,true,true,7cat_horizontal,true,keyword+ページID,true,false,false,,false,false,false,false,,true,true,,true,true,ReadSpeaker+ふりがな+font_size+背景色(白黒青),false,false,false,,,,,組織一覧,,
S0239,広島県,尾道市,municipality,C,service,https://www.city.onomichi.hiroshima.jp/site/onohug/2006.html,2026-02-16T13:00:00+09:00,200,https://www.city.onomichi.hiroshima.jp/site/onohug/2006.html,児童手当について,ja,,custom,true,true,true,7cat_horizontal,true,keyword+ページID,true,true,false,,false,false,false,false,,true,true,,true,true,ReadSpeaker+ふりがな+font_size+背景色(白黒青),true,false,true,PDF,,,,児童手当,,
S0239,広島県,尾道市,municipality,C,hub,https://www.city.onomichi.hiroshima.jp/kurashi/,2026-02-16T13:00:00+09:00,200,https://www.city.onomichi.hiroshima.jp/kurashi/,くらし,ja,,custom,true,true,true,7cat_horizontal,true,keyword+ページID,true,false,false,,false,false,true,false,,true,true,,true,true,ReadSpeaker+ふりがな+font_size+背景色(白黒青),false,false,false,,,,,くらしカテゴリ,,
